Observation,Date,Open,High,Low,Close,Adj Close,Volume,O1,H1,L1,C1,V1,O0,SMA_O0_3,MAX_O0_3,MIN_O0_3,STD_O0_3,SMA_V1_3,MAX_V1_3,MIN_V1_3,STD_V1_3,SMA_O0_5,MAX_O0_5,MIN_O0_5,STD_O0_5,SMA_V1_5,MAX_V1_5,MIN_V1_5,STD_V1_5,SMA_O0_7,MAX_O0_7,MIN_O0_7,STD_O0_7,SMA_V1_7,MAX_V1_7,MIN_V1_7,STD_V1_7,SMA_O0_10,MAX_O0_10,MIN_O0_10,STD_O0_10,SMA_V1_10,MAX_V1_10,MIN_V1_10,STD_V1_10,SMA_O0_12,MAX_O0_12,MIN_O0_12,STD_O0_12,SMA_V1_12,MAX_V1_12,MIN_V1_12,STD_V1_12,SMA_O0_15,MAX_O0_15,MIN_O0_15,STD_O0_15,SMA_V1_15,MAX_V1_15,MIN_V1_15,STD_V1_15,SMA_O0_30,MAX_O0_30,MIN_O0_30,STD_O0_30,SMA_V1_30,MAX_V1_30,MIN_V1_30,STD_V1_30,action
444,2012-04-02,37.330002,37.970001,36.529999,36.580002,36.580002,1028600,-0.005063912579957419,0.0007907749285920307,-0.004089449291166947,-0.01772287767331493,0.16042418772563183,-0.016876532714892423,-0.013161426406163468,-0.005063912579957419,-0.01754383392364056,0.007020585470600201,0.03578647590640419,0.16042418772563183,-0.1660732984293194,0.17641594973486915,-0.0023894791863532825,0.016684580193756737,-0.01754383392364056,0.01569909488304988,-0.1416008379567943,0.16042418772563183,-0.6238972904851923,0.31294583681577387,0.010140994571038231,0.0441135150323122,-0.01754383392364056,0.02499191879383982,0.31651709740714795,1.6828122330428839,-0.6238972904851923,0.8328848857191369,0.005039889270114351,0.0441135150323122,-0.020303202164621226,0.02267576926365662,0.17051523743606206,1.6828122330428839,-0.6238972904851923,0.7297144432779714,0.004397750864306642,0.0441135150323122,-0.020303202164621226,0.020930830507166123,0.1978010685657123,1.6828122330428839,-0.6238972904851923,0.6635870947822177,0.0005355580401563475,0.0441135150323122,-0.020303202164621226,0.020280206594395493,0.09368000186213345,1.6828122330428839,-0.6238972904851923,0.629747282802083,0.0019247642112045253,0.052464659915383516,-0.032023233305573995,0.02139944477880027,0.10434956429194638,1.6828122330428839,-0.6238972904851923,0.5603551713827688,0
1446,2016-03-29,229.88999900000002,232.38000499999998,225.330002,230.13000499999998,230.13000499999998,4004900,-0.007426285534189669,-0.010348762917667731,0.0014666755555556854,-0.0005645357544633578,0.020174745905188862,0.022619500729128994,0.02951832738302244,0.073361766954128,-0.007426285534189669,0.040833475398429755,-0.062017343498767495,0.020174745905188862,-0.20867181358221287,0.12731549724784247,-0.0006487344151983488,0.073361766954128,-0.07139474268181645,0.053526080063512324,-0.04525837411499458,0.14661723818350314,-0.20867181358221287,0.1501062161057902,0.004562756483057436,0.073361766954128,-0.07139474268181645,0.044947245845343514,0.02082163158358005,0.24555235401411624,-0.20867181358221287,0.1701128253384957,0.009971629656764402,0.073361766954128,-0.07139474268181645,0.038029583320969236,0.01094301507642087,0.24555235401411624,-0.21772388518582286,0.1632227488897591,0.010836204031007888,0.073361766954128,-0.07139474268181645,0.034607962620158535,-0.0024529588852153137,0.24555235401411624,-0.35501234758450373,0.193919721468643,0.010132266819925866,0.073361766954128,-0.07139474268181645,0.03149170814850245,0.009193603636426547,0.6154085894159447,-0.35501234758450373,0.2523744818341054,0.013759327016798835,0.08440250314465403,-0.07139474268181645,0.034509056636746235,0.013749155142136822,0.7098398323984592,-0.35501234758450373,0.27535392776106143,0
1011,2014-07-07,227.5,229.77999900000003,220.399994,222.66000400000001,222.66000400000001,5893700,-0.01638632502358206,-0.009141850171845878,-0.01607145535714294,-0.02874589312977094,0.1407087696208411,-0.038901125274725334,-0.03140736396167776,-0.01638632502358206,-0.03893464158672588,0.013008612105856656,0.21187892295372537,0.8512949424598142,-0.35636694321947326,0.6069684510538318,-0.01789964307800378,0.01214779362787155,-0.03893464158672588,0.021785389799854483,0.0781069481816334,0.8512949424598142,-0.35636694321947326,0.4668721563778601,-0.011320951541125144,0.020708172306377115,-0.03893464158672588,0.02288165420168758,0.05336804288254866,0.8512949424598142,-0.35636694321947326,0.3886403697616649,-0.004512277370180606,0.04121827461152594,-0.03893464158672588,0.026791666795035862,0.07172710471991522,0.8512949424598142,-0.35636694321947326,0.380352818432688,-0.003530289113519806,0.04121827461152594,-0.03893464158672588,0.024374788850817924,0.04516253966074683,0.8512949424598142,-0.442301349922098,0.3808955397685678,0.004213845257923425,0.08391374743455571,-0.03893464158672588,0.0323767840868388,0.18702501918191983,2.7373811471940863,-0.47837262963269167,0.7936269116568997,0.0025123918902138906,0.08391374743455571,-0.03893464158672588,0.02449603060514442,0.09610352620133904,2.7373811471940863,-0.47837262963269167,0.5973094352314959,1
1294,2015-08-19,260.329987,260.649994,255.020004,255.25,255.25,3604300,0.019382809550810398,-0.00114971445182388,0.005758029703092138,-0.020980365829317282,-0.14081048867699641,-0.031767331513752994,-0.004362943384799737,0.019382809550810398,-0.031767331513752994,0.025770592568656114,0.030963864651654387,0.6491715881149895,-0.4154695054830214,0.5527160083537543,0.010266123614093292,0.03365148370709692,-0.031767331513752994,0.02709924460927238,0.055750062902840104,0.6491715881149895,-0.4154695054830214,0.40926269308039165,0.008992215210355996,0.03365148370709692,-0.031767331513752994,0.02383384392000992,0.02447826949817154,0.6491715881149895,-0.4154695054830214,0.3407937751105867,0.0012570057772889553,0.03365148370709692,-0.031767331513752994,0.02367267623755076,0.06965932620203827,1.3532497626442237,-0.6530723888455805,0.5716352891860266,-0.0022471941974552176,0.03365148370709692,-0.05326654030072475,0.02700943244370274,0.1882875473645237,1.6415727948990435,-0.6530723888455805,0.6918326988404451,-0.002450249603009088,0.03365148370709692,-0.05326654030072475,0.02524826189601929,0.1486635259017747,1.6415727948990435,-0.6530723888455805,0.6246653632811691,-0.000660429997951432,0.03365148370709692,-0.05326654030072475,0.022920098763640546,0.10683346164824727,2.0965965346534654,-0.6530723888455805,0.6238046163488851,0
838,2013-10-25,174.21000700000002,174.5,166.800003,169.66000400000001,169.66000400000001,7595500,0.05581822424242433,0.0,0.024381262367115797,-0.020155877106181053,-0.2983825526293912,-0.023133079835075288,0.0031788996791961934,0.05581822424242433,-0.023148445369760462,0.045586992957197585,-0.10528192894417132,0.16982093143755428,-0.2983825526293912,0.24463626211282694,-0.013903632288244316,0.05581822424242433,-0.06972937074273988,0.04519197664473415,0.1231976998903779,0.9444425709853645,-0.2983825526293912,0.4922369926185959,-0.01013128744431597,0.05581822424242433,-0.06972937074273988,0.037529274622974354,0.045381033776173654,0.9444425709853645,-0.2983825526293912,0.423758925419501,-0.0021582470443440526,0.058742851428571496,-0.06972937074273988,0.03746350718865076,0.04129268047468317,0.9444425709853645,-0.2983825526293912,0.3820148985668644,-0.0008768451153654914,0.058742851428571496,-0.06972937074273988,0.03416867515304939,-0.005960653093420504,0.9444425709853645,-0.41997845460777594,0.37057474127558115,-0.004114399565778193,0.058742851428571496,-0.06972937074273988,0.03332621897514624,0.0024287296296119218,0.9444425709853645,-0.41997845460777594,0.33850073251658774,0.000928111680789645,0.058742851428571496,-0.07179592389407541,0.0319564118809964,0.1025657209050068,1.866812508042723,-0.41997845460777594,0.5463968557635769,0
